graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,beta_3,gamma_1,gamma_2,gamma_3
1.0,6.0,2.9999999999999996,5.999999999999998,0.9999999999999998,2.0,-0.1249999985594732,0.12499999937818815,,0.0,-0.4999999997390336,
2.0,6.0,2.9999999999999996,5.515836577188815,0.6779623806107449,3.0,-0.14415871197733265,-0.08814885083668875,-0.0725075456046364,-0.19447912851020793,-0.2993837180500207,-0.24618829699464656
3.0,6.0,3.4999999999999996,5.884404353103076,0.9497503822579341,3.0,-0.09856211447652238,0.09595585967340035,-0.09865525777597993,-0.1444354667813092,0.5693935937384218,-0.9892835907131146
4.0,6.0,2.9999999999999996,5.541720570558049,0.6741114934714948,3.0,-0.14862502092180307,-0.09869266275807112,-0.06831373114225144,-0.17598197650010866,-0.3300992650714163,-0.3063946799449569
5.0,6.0,2.9999999999999996,5.447650831527586,0.5426903544657414,3.0,-0.16199668040677304,-0.09615976389416166,-0.06585312400453269,-0.1933215033643582,-0.3192238756273828,-0.3084924688003169
6.0,6.0,3.4999999999999996,5.716195205795924,0.8031743533803012,3.0,-0.12998948528503457,-0.07743511826134047,-0.058635499046894385,-0.1606377624162665,-0.28076752282356127,-0.2610905210463155
7.0,7.0,3.4999999999999996,6.37180328301283,0.6939071593872436,3.0,-0.16104017344805038,-0.11057807727935,-0.07551977997465757,-0.17154700325421565,-0.2656638342877002,-0.23549603874458247
8.0,7.0,3.9999999999999996,6.250392179491717,0.40521811853189027,3.0,-0.1038595754513089,0.08089850398680734,-0.08698078623252162,-0.16312197921215338,0.5759403870404715,-0.984032879708516
9.0,6.0,2.9999999999999996,5.47776820447408,0.5476412892451861,3.0,-0.1953853530495956,-0.10387530395281967,0.07520699939726871,-0.18033715426094474,-0.4008188990218009,0.5836814318154183
10.0,6.0,3.4999999999999996,5.896383313252076,0.9490438450574435,3.0,-0.10439737338749054,0.09105794190485281,-0.09567977900132552,-0.14366153964368783,0.5470546281064225,-0.9798347278749598
11.0,7.0,3.4999999999999996,6.309996812775221,0.6011205835911748,3.0,-0.1788076942207076,-0.1347333359541876,-0.07852822125272317,-0.16575094050159794,-0.287689876344718,-0.28629991729277415
12.0,7.0,3.9999999999999996,6.20488218172594,0.35002833075330836,3.0,-0.1428074264391287,-0.08901920475489762,-0.06131518098920408,-0.14558392669789966,-0.2571017991965901,-0.26963589134966437
13.0,8.0,3.9999999999999996,7.327538788723032,0.6735916775681496,3.0,-0.1718684708021373,-0.1369885470644296,-0.08108374842145206,-0.14740221315431443,-0.24135736808832214,-0.22812077019476187
14.0,8.0,4.499999999999999,6.971255060056011,0.5144497022895458,3.0,-0.14519977454455268,-0.10186873843423642,-0.07539416109257367,-0.1398397138306039,-0.23865328579663117,-0.2432575424132804
15.0,8.0,3.9999999999999996,7.381537669212321,0.6717397072924904,3.0,-0.18751774580005495,-0.15484318074174178,-0.08837246039696478,-0.15229766937827932,-0.2643040481822394,-0.26183479592095327
16.0,8.0,4.499999999999999,6.908741552488768,0.43158685904149,3.0,-0.15054706157148434,-0.1046048675264195,-0.07247638338479333,-0.1343342582506827,-0.22526350318214206,-0.2413378481280683
17.0,9.0,4.499999999999999,8.383457566523147,0.7356511931968601,3.0,-0.1821335298406499,-0.15698575185938476,-0.08439424060703075,-0.13463809088169304,-0.2330783390567513,-0.2274793010037266
18.0,9.0,4.999999999999999,8.023671691506413,0.6630701172732192,3.0,-0.04557032303424794,0.18203281105336735,0.11157202156499764,0.548260740447415,-0.35980535866522995,0.2821296257465007
19.0,10.0,4.999999999999999,9.558435800359659,0.9057972996796855,3.0,-0.19446673114698468,-0.1179002041009537,0.07754697623513603,-0.168516224486511,-0.23963909337614847,0.3217892153288343
20.0,10.0,5.499999999999999,9.318121443300365,0.8254998527868077,3.0,-0.04255991655940129,0.19324422678088443,0.12655493313985675,0.4701036277366782,-0.2734843061258007,0.2420094897438535
21.0,6.0,2.9999999999999996,5.463167954397546,0.6155285267983885,3.0,-0.16413099654285992,-0.09473376161802778,-0.07424505915069746,-0.21522390436446945,-0.3272554245644589,-0.3227508972129962
22.0,6.0,3.4999999999999996,5.5264158163150645,0.6330712087797872,3.0,-0.15143900624175927,-0.0801406604313288,-0.06005884640034039,-0.16753738184169104,-0.26412959405575026,-0.2634856189688427
23.0,6.0,3.9999999999999996,5.874842117321491,0.9465710535453624,3.0,-0.10456915242461637,0.08672827323378578,-0.09829583321878839,-0.15617404085570524,0.5858933285582714,-0.96873279559722
24.0,6.0,2.9999999999999996,5.483349385779153,0.6043188819518641,3.0,-0.17762538942405756,-0.11891133801363095,-0.07176907545609439,-0.1867375398411189,-0.36274119195235066,-0.3861633549222705
25.0,6.0,3.4999999999999996,5.604922171344156,0.6897020721973043,3.0,-0.1518276388739293,-0.09624890015400857,-0.06109461762525282,-0.1695070803847725,-0.29912077748879523,-0.31376023453336793
26.0,6.0,2.9999999999999996,5.422698121310875,0.531154930303258,3.0,-0.1814381645940622,-0.12813807010737407,-0.07160076296161393,-0.20259459034202693,-0.36286682563892786,-0.39786631425612656
27.0,6.0,3.4999999999999996,5.6479794316344645,0.705151008508246,3.0,-0.15198048622971227,-0.08969329249937137,-0.057138631564516415,-0.16475789715856246,-0.3022012045969442,-0.3338247446823758
28.0,6.0,3.4999999999999996,5.525990030733481,0.5708009812877417,3.0,-0.16048341865175486,-0.0932113417503124,-0.05876144139786678,-0.17096241847156474,-0.28294536783446494,-0.30966688379249874
29.0,6.0,3.9999999999999996,5.824337388317655,0.8728803266224853,3.0,-0.13517311872321242,-0.07009077833254533,-0.04600748274628712,-0.1358384283605228,-0.2517069619635277,-0.2922205899150302
30.0,7.0,3.4999999999999996,6.346673400598071,0.6102094103830902,3.0,-0.17821433977686965,-0.12879189230728771,-0.07635816712291102,-0.17554217615078535,-0.2849221943368463,-0.2928585400488725
31.0,7.0,3.9999999999999996,6.115795826810317,0.34429279263490675,3.0,-0.06187522057343197,0.11267156481696286,0.07672767223493372,-0.3070504304750501,0.569229555771856,0.3911614552587908
32.0,7.0,3.9999999999999996,6.541854162083397,0.7588486340139308,3.0,-0.16809784908089187,-0.11067287813813284,-0.07352212079772938,-0.16281483385527287,-0.25048803828513805,-0.2446603407701639
33.0,7.0,4.499999999999999,6.349094761064181,0.4500316180983315,3.0,-0.05853933645046776,0.08596474544447621,0.05879510320979845,-0.2299368271770575,0.4269185492952807,0.29957324518742734
34.0,6.0,3.4999999999999996,5.6565484218514746,0.715640272370094,3.0,-0.16928908241505145,-0.11812455269898806,-0.0649647806779856,-0.1827645455979566,-0.35139124533549215,-0.37248249871250916
35.0,6.0,3.9999999999999996,5.906309098407908,0.954066428048208,3.0,-0.1085287478253339,0.08387014062871304,-0.09424148298264488,-0.15069897386069953,0.5488272671505496,-0.9578698333622704
36.0,7.0,3.4999999999999996,6.371767888789099,0.5682524243849553,3.0,-0.19347419575744623,-0.15532303035082679,-0.08612643746525682,-0.18106167867435902,-0.31302201746280506,-0.34678106041177637
37.0,7.0,3.9999999999999996,6.184422138981625,0.34573739307620166,3.0,-0.15075340691335537,-0.09424260307048339,-0.06301091271604528,-0.15106197342379762,-0.2599285159405398,-0.30321009673213084
38.0,7.0,3.9999999999999996,6.600633335575506,0.7711267965722474,3.0,-0.17674359490406896,-0.134852696984101,-0.07792169634363229,-0.16491244525206783,-0.27877580336031343,-0.2843825523634389
39.0,7.0,4.499999999999999,6.371974582423987,0.464976594655217,3.0,-0.14308507798879994,0.15960419465535272,-0.2335135911936905,-0.13517781498590556,-0.3644119042633369,0.07526734511189478
40.0,8.0,3.9999999999999996,7.370318432360811,0.6021344958059367,3.0,-0.1878299707928541,-0.15677638988959178,-0.08446766710559028,-0.15048893045038694,-0.26286937183384684,-0.28294391144793224
41.0,8.0,4.499999999999999,7.026103911496131,0.46868179101286994,3.0,-0.14747744200601037,0.1827247438433866,0.2148955691517359,-0.1477949514069734,-0.31715635701476447,0.09407883813358513
42.0,8.0,4.499999999999999,7.6524713635341435,0.8782822882828105,3.0,-0.17412091358716522,-0.1385343932151071,-0.0813453209679368,-0.14545527219592452,-0.2355968049320552,-0.23216921071042193
43.0,8.0,4.999999999999999,7.37490170631741,0.7460028201401417,3.0,-0.1408098902008965,0.18164573625630429,0.22237487892467006,-0.16320284792159886,-0.33571804538748184,0.10813233556619978
44.0,6.0,3.4999999999999996,5.8046286777323575,0.8873572256349117,3.0,-0.1470493076358815,-0.10225060761770949,-0.07387255519334701,-0.18547583370720713,-0.3402476728240832,-0.2944432818300818
45.0,7.0,3.9999999999999996,6.358869846910228,0.5980351427276638,3.0,-0.13420200080641687,-0.09226225119896321,-0.07071903760795623,-0.16334811900274387,-0.3032611683747305,-0.25541641825897504
46.0,7.0,4.499999999999999,6.636206759097506,0.7216766507677314,3.0,-0.12484985436064906,-0.06782670009128129,-0.05527911165710986,-0.12520845330837116,-0.31598038357019237,-0.3118330830075144
47.0,6.0,2.9999999999999996,5.416073819417973,0.49692365377175696,3.0,-0.18613771039885124,-0.130386087362533,-0.06823101361397804,-0.19185905700665098,-0.3599140624224701,-0.39139094003400554
48.0,6.0,3.4999999999999996,5.806882487249405,0.8528126128794087,3.0,-0.16899365391502738,-0.09916553033670548,-0.05068154899056127,-0.16154906624685386,-0.27925115412725404,-0.3060853981449427
49.0,6.0,3.4999999999999996,5.794073528184635,0.8451242006907256,3.0,-0.1417458682010175,-0.08272441907902611,-0.05508438410227079,-0.1523719920173569,-0.31666823944814004,-0.3372637815593073
50.0,6.0,3.4999999999999996,5.7677961793634385,0.8454133047783849,3.0,-0.14654128082831122,-0.08775486717418438,-0.0646978614309765,-0.18126272684564937,-0.32006110755154665,-0.3328291207951215
51.0,7.0,3.4999999999999996,6.362988066209516,0.6706559288817014,3.0,-0.17575745449132565,-0.13443244557069609,-0.08154763179771204,-0.17068770103353484,-0.2861152547094036,-0.28814139552681317
52.0,7.0,3.9999999999999996,6.2143021145631145,0.3892109645999516,3.0,-0.13217280977297374,-0.08607453707286092,-0.05932397840725898,-0.1346092647549498,-0.27108922317120776,-0.29547887678975526
53.0,7.0,3.9999999999999996,6.435800948544612,0.5957372764922235,3.0,-0.1559940612331245,-0.09890795973997937,-0.062282819517572974,-0.14959276534553964,-0.25426459137021934,-0.2547339739650417
54.0,7.0,4.499999999999999,6.6047971518328925,0.7229757629380681,3.0,-0.13650203841059252,-0.08472058448927552,-0.05493050788954039,-0.12336294371585124,-0.26591387685333434,-0.2953781497387767
55.0,7.0,3.9999999999999996,6.360638966752557,0.5285951162881994,3.0,-0.14678276144039454,-0.09207951763088874,-0.06339451180193204,-0.14886008886962535,-0.3147755701652269,-0.32296887107332645
56.0,7.0,4.499999999999999,6.697746926386191,0.8177263888333672,3.0,-0.12262597590543534,-0.07931180959436138,-0.060305531180051726,-0.12426650095909976,-0.2950416428582101,-0.34708322063471847
57.0,7.0,3.9999999999999996,6.568387282186226,0.7152273655392822,3.0,-0.15891094122600735,-0.11767453221263524,-0.07295332826617157,-0.15613162455797214,-0.2949148970225852,-0.2890114220615297
