graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,beta_3,gamma_1,gamma_2,gamma_3
1.0,4.0,1.9999999999999998,3.9999999999999942,0.9999999999999836,2.0,-0.12499999601215701,0.12500000207290252,,0.0,-0.500000017012698,
2.0,4.0,1.9999999999999998,3.799621212012116,0.8501324946478499,3.0,-0.17934890957244412,-0.12193835612963394,-0.07792757532517532,-0.21767844149934898,-0.3907525676048963,-0.3947092611300598
3.0,4.0,2.4999999999999996,3.9485910206326174,0.9744433777394892,3.0,-0.10492842835017442,0.08682546511046335,-0.09443834238553753,-0.15433092275568508,0.5488975453912028,-0.9708502090787492
4.0,4.0,2.4999999999999996,3.9655469487114368,0.9749079368751814,3.0,-0.16234849591482847,-0.08811604016580148,-0.05207020545557218,-0.1575812821498317,-0.35235917335402434,-0.41515832307971295
5.0,5.0,2.4999999999999996,4.8312947941446565,0.8906135417921732,3.0,-0.18180834989288813,-0.15859004931933574,-0.08658002442300186,-0.17356481630643697,-0.32119384183378286,-0.33958841779850757
6.0,5.0,2.9999999999999996,4.503979856133889,0.5432461002227569,3.0,-0.1434162508653192,0.16033046814141788,-0.2378419968002102,-0.14746787103081038,-0.41592041129437485,0.10170101136495314
7.0,6.0,2.9999999999999996,5.947421771314283,0.9829884440773562,3.0,-0.1806017267389288,-0.17357819782588677,-0.08861675916610068,-0.1432673443352498,-0.276563085178102,-0.29601000999379423
8.0,6.0,3.4999999999999996,5.8601946951027095,0.959595142981447,3.0,-0.11670155067593709,0.194428947049176,0.19016660596414542,-0.19752568220277797,-0.3609076839373706,0.16717518201166057
9.0,4.0,1.9999999999999998,3.7728167585051096,0.8113144269526968,3.0,-0.20367796027560112,-0.16509763551533224,-0.09152930273150693,-0.23919160548401494,-0.464224798418783,-0.508515088093377
10.0,4.0,2.4999999999999996,3.9556473297921473,0.9740708674634624,3.0,-0.07760745107686828,-0.14034610621970797,0.2114026594861375,-0.38995640647821017,0.905514049688912,-0.17237851048904268
11.0,4.0,2.9999999999999996,3.999999999999999,0.9999999999999989,3.0,-0.15850139878068784,-0.07423578514052638,-0.028593354210991368,-0.09737823461667952,-0.21931333730757072,-0.2782839420642643
12.0,5.0,2.9999999999999996,4.644273942639291,0.7404786391116102,3.0,-0.15894035801439885,-0.11561715619323079,-0.08153438242186156,-0.18339023072211372,-0.331973339439642,-0.38201137965097687
13.0,5.0,3.4999999999999996,4.964877044778847,0.9742275111101317,3.0,-0.17693420353919548,-0.08528024857349635,0.09798607115450629,-0.21832016714867317,-0.2700013506740689,0.49070091581726183
14.0,4.0,2.4999999999999996,4.0,0.9999999999999434,2.0,-0.17556276282653965,-0.08352082073832011,,0.0,-0.16704164651012288,
15.0,5.0,2.9999999999999996,4.826191888304775,0.8504310831197177,3.0,-0.1701669657180751,-0.12766431487721677,-0.06507093584371901,-0.15085916737591668,-0.30057722241726714,-0.33289582816127006
16.0,5.0,3.4999999999999996,4.855335308344764,0.8731771684976867,3.0,-0.13941882718374868,0.152198258560249,-0.2233752017859671,-0.12401700534908817,-0.3764721586398286,0.06432575702856046
17.0,6.0,3.9999999999999996,5.589446485696258,0.7360028925748667,3.0,-0.24876159182073332,0.12688724022882533,0.22556493272400807,0.6638146290499859,0.5820362446834226,-0.25266698074705296
18.0,6.0,3.4999999999999996,5.780700718515772,0.8452829315252172,3.0,-0.15092860630008195,-0.14051609955056493,-0.0881431703848506,-0.14403381247318836,-0.2906970135243195,-0.29116081963688967
19.0,6.0,3.9999999999999996,5.9150190111349055,0.948593159479441,3.0,-0.19742410602299168,-0.1104121796398907,-0.12621727145922107,-0.21145846663238022,-0.3171425927974924,-0.4730088499435866
20.0,6.0,4.499999999999999,5.998852663379352,0.9990819168569389,3.0,-0.2237023020432083,-0.22287694935209684,0.1454907225925372,0.7579663684632566,-0.200867306911328,-0.6483653260697372
21.0,6.0,4.999999999999999,5.9999999999999964,0.9999999999999925,2.0,-0.1045231442490059,-0.03709011145591024,,0.0,-0.07970925006216334,
