graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,beta_3,gamma_1,gamma_2,gamma_3
1.0,3.0,1.5,3.0000000000000018,0.9999999999999731,3.0,-0.1833542860980299,-0.11542418822738967,-0.08597895557646996,-0.19399824421314496,-0.42425797776124313,-0.3867758259929965
2.0,3.0,1.5,2.977917782998603,0.9784685434414298,3.0,-0.20019452876358013,-0.16224693609634577,-0.10262220616820059,-0.26403131519171713,-0.5127779094413433,-0.5276588764751263
3.0,3.0,2.0,3.0000000000000036,0.9999999999999998,3.0,-0.24999999805826295,0.24999999969743358,-0.12499999845448513,0.7499999967749994,0.9999999959146658,-0.2500000024859565
4.0,4.0,2.0,3.9999999999999996,1.0,2.0,-0.1780176492575706,-0.14396470133828532,,0.0,-0.28792940309684917,
5.0,4.0,2.5,3.9975748588402378,0.997897466544757,3.0,-0.20104693637224005,0.23644763677941025,0.14640450823828338,0.31965685849442793,-0.714933499900029,0.9182427122014192
6.0,4.0,3.0,4.000000000000002,0.9999999999999998,2.0,-0.08787925940697734,-0.051732385543119125,,0.0,-0.1467226476678938,
