graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,gamma_1
1.0,7.0,3.5,5.250000000000002,0.28124996504723243,1.0,-0.12499999208831254,-0.49999996996375184
2.0,7.0,3.5,5.077551830062241,0.16039151566546542,1.0,-0.1250000004885925,-0.39962812250394325
3.0,7.0,4.0,5.3786583175474565,0.18642449917066872,1.0,-0.11625449207476404,-0.251748988939904
4.0,7.0,3.5,5.050542821079118,0.08766718053647761,1.0,-0.12500000017308346,-0.26914473065159267
5.0,7.0,3.5,5.113460793570143,0.11114075063867959,1.0,-0.12500000095633917,-0.2760740407101317
6.0,7.0,4.0,5.453428646037223,0.18715238207460513,1.0,-0.11787569860108124,-0.2351896950565434
7.0,8.0,4.0,5.644912276744868,0.113685922924982,1.0,-0.1250000136051199,-0.2455062608230552
8.0,8.0,4.5,5.91244432203746,0.07076891627684716,1.0,-0.11290414450270182,-0.21016744705151935
9.0,7.0,3.5,5.061282300667577,0.07847158361916555,1.0,-0.12500000000337277,-0.2566488507331088
10.0,7.0,3.5,5.15076483534974,0.10109417420065556,1.0,-0.12500000040480103,-0.2593253451306849
11.0,7.0,4.0,5.487393564799743,0.18579519834734076,1.0,-0.11842760444507708,-0.22912322619189343
12.0,8.0,4.0,5.698690836547023,0.10740282758600654,1.0,-0.12500000014765164,-0.23467757936739353
13.0,8.0,4.5,5.963033230660384,0.08301124973141563,1.0,-0.11390303173219027,-0.21026016484326204
14.0,9.0,4.5,6.258345154343321,0.11765806505107637,1.0,-0.12500000040011583,-0.21844034067010437
15.0,9.0,5.0,6.4603697891836065,0.08306428173787296,1.0,-0.11052443566986582,-0.19445768296317703
16.0,8.0,4.0,5.715691613133912,0.10521201227794569,1.0,-0.12499999999995978,-0.2318349651501395
17.0,8.0,4.5,5.979130923854003,0.08673673777174534,1.0,-0.1142154742094697,-0.20982399149151765
18.0,9.0,4.5,6.288002912922096,0.11475478285196616,1.0,-0.12500000972598393,-0.21509296842681186
19.0,9.0,5.0,6.48976487194488,0.09054042527657147,1.0,-0.11112394178935163,-0.19536842411235927
20.0,10.0,5.0,6.862189345914293,0.127943722914887,1.0,-0.12500000114038473,-0.20340028654549888
21.0,10.0,5.5,7.010022516207851,0.09467536826947649,1.0,-0.10876424871350869,-0.18367745937160976
22.0,10.0,5.0,6.874654868162705,0.12644862809037086,1.0,-0.12500000366448183,-0.20230619040181722
23.0,10.0,5.5,7.022948796377272,0.09809590665961664,1.0,-0.10902872237796706,-0.18422085455703366
24.0,11.0,5.5,7.458247002334611,0.14168974982846932,1.0,-0.12499999633138964,-0.19301730801515096
25.0,11.0,6.0,7.558992366216726,0.10555135413321055,1.0,-0.10738109607326488,-0.17505325285763523
26.0,12.0,6.0,8.048438813973878,0.15879686606674456,1.0,-0.12499998811279987,-0.18523473408668956
27.0,12.0,6.5,8.10667758141804,0.11596137779195242,1.0,-0.10625344754585754,-0.1676904914756624
28.0,7.0,3.5,5.113460793570143,0.09335372702714434,1.0,-0.12500000938860417,-0.2760740292946066
29.0,7.0,4.0,5.472175868409968,0.1658557823354132,1.0,-0.1163256691402881,-0.23229714368826793
30.0,7.0,4.5,5.913431170234099,0.31259711347159397,1.0,-0.1110991372435608,-0.2042542911321765
31.0,7.0,3.5,5.150764835349733,0.08271660345942931,1.0,-0.12499999939417034,-0.2593253455425084
32.0,7.0,4.0,5.509939108361503,0.15388022727523062,1.0,-0.11584081848064427,-0.22187349041669757
33.0,7.0,3.5,5.211775025691159,0.0999414871038834,1.0,-0.12499999001487899,-0.2645358346211929
34.0,7.0,4.0,5.543245340832966,0.1857650209190396,1.0,-0.11738254859574833,-0.2320429179185247
35.0,7.0,4.0,5.559762095416574,0.1793816332491156,1.0,-0.11587625787042705,-0.2297990330172788
36.0,7.0,4.5,5.976667829666793,0.3445973597363877,1.0,-0.11142239368053107,-0.20475707254603337
37.0,8.0,4.0,5.753113544736612,0.10483671794537777,1.0,-0.12499999993081182,-0.24138208424408286
38.0,8.0,4.5,5.998979115058611,0.07424587574104738,1.0,-0.11240893295444243,-0.2118944055018025
39.0,8.0,4.5,6.141826949292004,0.19743248421168189,1.0,-0.11749627678080474,-0.21568152639196853
40.0,8.0,5.0,6.471520335169477,0.14359667468870219,1.0,-0.10839693072278565,-0.19151058211403318
41.0,7.0,4.0,5.504526915935568,0.14612449287282905,1.0,-0.11494306200652114,-0.2151826933181833
42.0,7.0,3.5,5.240392379162386,0.10384387557636354,1.0,-0.1250000000003199,-0.26072026572293944
43.0,7.0,4.0,5.56520266932732,0.1935805103723791,1.0,-0.11770563556648832,-0.2310997601396783
44.0,7.0,4.0,5.582074713036098,0.17332105900592815,1.0,-0.11503721311930992,-0.22339451559839582
45.0,7.0,4.5,5.996962236202174,0.3420736523981972,1.0,-0.1112018753856676,-0.2018379852978299
46.0,8.0,4.0,5.80009511466457,0.10998150315572651,1.0,-0.12499999980413849,-0.23766582835883476
47.0,8.0,4.5,6.039563939916482,0.08725356901162411,1.0,-0.11314360222050127,-0.21339646515725963
48.0,8.0,4.5,6.183528125429874,0.19958247325413497,1.0,-0.11699454254012456,-0.21166595945640876
49.0,8.0,5.0,6.509394855676253,0.15836809524413642,1.0,-0.10863010271928,-0.19171845008521785
50.0,9.0,4.5,6.365796676526294,0.11922016807419514,1.0,-0.12500001291752447,-0.22194303438327814
51.0,9.0,5.0,6.536302285509745,0.0893724075865822,1.0,-0.10982514149700286,-0.19840085303478844
52.0,9.0,5.0,6.776337565764507,0.22698603229022224,1.0,-0.11834132215647557,-0.20231644346646016
53.0,9.0,5.5,7.030271972571988,0.17401087904419638,1.0,-0.10668473281262393,-0.18258796597146046
54.0,8.0,4.5,6.1806469042854255,0.18782279431621648,1.0,-0.11620908902650645,-0.2074384227935999
55.0,8.0,5.0,6.512556361048128,0.1500935834027212,1.0,-0.10832965131650846,-0.18958914700099072
56.0,9.0,4.5,6.384194242775375,0.12291737341211795,1.0,-0.12500000407880862,-0.22073133212114504
57.0,9.0,5.0,6.553742265196451,0.09546098066139087,1.0,-0.1101610932154732,-0.19928846823106505
58.0,9.0,5.0,6.791979144354998,0.22162192275619064,1.0,-0.11783346268189634,-0.19917633904215837
59.0,9.0,5.5,7.049174018983925,0.1770892427489717,1.0,-0.10673919151385776,-0.18217672174817506
60.0,10.0,5.0,6.965040022470957,0.13544809380090284,1.0,-0.12500000027447714,-0.20867565795601203
61.0,10.0,5.5,7.0761600510725655,0.10234124789525229,1.0,-0.10791270840472057,-0.18771171231406122
62.0,10.0,5.5,7.392028279036554,0.2571153405061538,1.0,-0.11898301810558835,-0.19219062850240823
63.0,10.0,6.0,7.586759970834272,0.20129878655256567,1.0,-0.1054659298941995,-0.1752570731938978
64.0,7.0,4.0,5.45790744272042,0.13699920963662554,1.0,-0.11369325928637909,-0.20886570206741237
65.0,8.0,4.5,5.924580077127452,0.0579474281353961,1.0,-0.11085157314995724,-0.19466849012787213
66.0,8.0,5.0,6.332724955660111,0.13435742492645134,1.0,-0.10429879850094322,-0.17898021244689472
67.0,7.0,3.5,5.21177502569115,0.10741996605653803,1.0,-0.12499998514950585,-0.2645358388072754
68.0,7.0,4.0,5.75311354473661,0.30507529014084406,1.0,-0.1249999985779473,-0.24138208231777927
69.0,7.0,3.5,5.150764835349737,0.08752985509325549,1.0,-0.12499999719231306,-0.2593253676124507
70.0,7.0,4.0,5.520952473187275,0.2012301700134677,1.0,-0.11870266012125705,-0.23105190436036874
71.0,7.0,4.0,5.543245340832967,0.19190288024077035,1.0,-0.11738255189651345,-0.23204292178153932
72.0,8.0,4.0,5.698690836547027,0.09463823336639016,1.0,-0.12500001931321292,-0.2346775753677518
73.0,8.0,4.5,5.97511872426249,0.06637833355468283,1.0,-0.11319394863894892,-0.20830228536649956
74.0,8.0,4.5,6.122820227322001,0.12737831139660705,1.0,-0.11863586060894057,-0.21541380370261987
75.0,8.0,5.0,6.464776832495983,0.18425932635691528,1.0,-0.10960536920579736,-0.1923379082998207
76.0,7.0,4.0,5.550955118685876,0.15410309589547494,1.0,-0.11381216040421631,-0.21656871590675716
77.0,7.0,4.5,5.979250845284137,0.31192428324160576,1.0,-0.11046387894523196,-0.1977520682033949
78.0,7.0,4.0,5.538873186584865,0.16542027166059825,1.0,-0.11519070799556624,-0.21882091633893888
79.0,8.0,4.5,5.97841487315409,0.06180882321776758,1.0,-0.11207309168000328,-0.2005769859158914
80.0,8.0,4.5,5.993336434441172,0.062145697842276776,1.0,-0.11157875321641349,-0.20126669084666649
81.0,8.0,5.0,6.382547027246121,0.14840081353517068,1.0,-0.10508647818018116,-0.18442352261915967
