graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,gamma_1
1.0,4.0,1.9999999999999998,2.9999999999999987,0.453124974887163,1.0,-0.12499999416487538,-0.49999997713363076
2.0,4.0,1.9999999999999998,3.0582807581598566,0.29815286009059433,1.0,-0.12500000318429566,-0.2813923277029844
3.0,4.0,2.4999999999999996,3.40227411857567,0.5113398292112609,1.0,-0.10962647187181881,-0.21284018632160656
4.0,4.0,2.4999999999999996,3.4357205828138433,0.5598286623336576,1.0,-0.11002459308616129,-0.218394569196113
5.0,5.0,2.4999999999999996,3.6928053518696933,0.3534674708293057,1.0,-0.12499999950811945,-0.24379334249429757
6.0,5.0,2.9999999999999996,3.9273437191366267,0.23420117361266474,1.0,-0.1039126783704923,-0.1905610593519026
7.0,6.0,2.9999999999999996,4.304428492467853,0.4036781826338224,1.0,-0.12499999431143613,-0.2214548252943502
8.0,6.0,3.4999999999999996,4.467689143696298,0.27140670375303444,1.0,-0.10091188210468584,-0.1749854407202838
9.0,4.0,1.9999999999999998,3.1221848548454925,0.3331398347174639,1.0,-0.12499999906019882,-0.28360087558098657
10.0,4.0,2.4999999999999996,3.449991899413961,0.5155791867335169,1.0,-0.10819094902564994,-0.2161014565032152
11.0,4.0,2.9999999999999996,3.9287644729543616,0.9729286913495387,1.0,-0.10216121563772126,-0.1871117276133057
12.0,5.0,2.9999999999999996,3.9389644803158457,0.21419234146558563,1.0,-0.10324244005148049,-0.19027424898348672
13.0,5.0,3.4999999999999996,4.371132455780052,0.49880469598989297,1.0,-0.09447115091223587,-0.1655709777554732
14.0,4.0,2.4999999999999996,3.750000000000001,0.8789062499999998,1.0,-0.12499999940696549,-0.250000003012968
15.0,5.0,2.9999999999999996,4.110068884472304,0.4147776756005115,1.0,-0.11262207371140748,-0.2066049418598365
16.0,5.0,3.4999999999999996,4.4734096933875565,0.586614369807948,1.0,-0.10004465448455531,-0.1749127615531228
17.0,6.0,3.9999999999999996,4.9388326934101405,0.19343720964784444,1.0,-0.0936438620329721,-0.15717651322968823
18.0,6.0,3.4999999999999996,4.599869459687019,0.2500187103724969,1.0,-0.10708406806834056,-0.18514660781701933
19.0,6.0,3.9999999999999996,5.02555181803065,0.3240480935161155,1.0,-0.09828089228471344,-0.1640533270465511
20.0,6.0,4.499999999999999,5.439202880890546,0.5216410863881716,1.0,-0.0896363849668774,-0.14483627658115528
21.0,6.0,4.999999999999999,5.90521182055541,0.9758983025725995,1.0,-0.08445046391906354,-0.13163095644391942
