graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,gamma_1
1.0,6.0,2.9999999999999996,4.500000000000008,0.33007812508339546,1.0,-0.1250000000197035,-0.5000000000335195
2.0,6.0,2.9999999999999996,4.369752349730393,0.1570259093650167,1.0,-0.12499999672056261,-0.30137708896180543
3.0,6.0,3.4999999999999996,4.726087724196247,0.23840193812505253,1.0,-0.11499278148825919,-0.22477601613551437
4.0,6.0,2.9999999999999996,4.401343914229772,0.12292361989468219,1.0,-0.12500000685894563,-0.26261001896634656
5.0,6.0,2.9999999999999996,4.463129475166637,0.15088327986873173,1.0,-0.12500000245762194,-0.2689221063412083
6.0,6.0,3.4999999999999996,4.796663349934929,0.26551004079120527,1.0,-0.11613916135885632,-0.22637818483986033
7.0,7.0,3.4999999999999996,5.003569949030962,0.15638487060905937,1.0,-0.12500000112015996,-0.23927117386295377
8.0,7.0,3.9999999999999996,5.261477703192138,0.10384910775215885,1.0,-0.11068953875312862,-0.2017233998601958
9.0,6.0,2.9999999999999996,4.4910968551466315,0.1496446012506808,1.0,-0.1250000058130827,-0.2633287355776601
10.0,6.0,3.4999999999999996,4.818678809759868,0.2723542079912702,1.0,-0.11650376526181476,-0.22575321456108818
11.0,7.0,3.4999999999999996,5.050987271411413,0.15906034745728237,1.0,-0.12499999999505468,-0.23533918045412297
12.0,7.0,3.9999999999999996,5.300858929072158,0.12086980579616712,1.0,-0.11141597475301426,-0.20443194469785644
13.0,8.0,3.9999999999999996,5.620292352526829,0.1734368291651595,1.0,-0.12499999971030541,-0.21745590049902572
14.0,8.0,4.499999999999999,5.8068035135482345,0.12357939599500328,1.0,-0.10796264126632728,-0.18786495314298748
15.0,8.0,3.9999999999999996,5.639030830012228,0.17468403435317284,1.0,-0.12500000544232928,-0.21642487583158743
16.0,8.0,4.499999999999999,5.8234685458195345,0.1314493463436605,1.0,-0.1082772668654799,-0.18917682346894119
17.0,9.0,4.499999999999999,6.224470852090103,0.19449913077375597,1.0,-0.12500000485611096,-0.2034921676134113
18.0,9.0,4.999999999999999,6.354081791796288,0.14089335861084873,1.0,-0.10604793347840735,-0.17727093893750526
19.0,10.0,4.999999999999999,6.820306503139362,0.21901927719053269,1.0,-0.1250000004438612,-0.19337921830213226
20.0,10.0,5.499999999999999,6.901285975533575,0.1562999147807433,1.0,-0.10462381905518939,-0.16847634932183564
21.0,6.0,2.9999999999999996,4.4631294751666335,0.13262469696592,1.0,-0.1250000271664479,-0.26892208729579054
22.0,6.0,3.4999999999999996,4.814139905770958,0.24238959700970591,1.0,-0.11455042587409942,-0.22475087624674547
