graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,gamma_1
1.0,5.0,2.5,3.75,0.39062499393034894,1.0,-0.12499999845437601,-0.49999999651463417
2.0,5.0,2.5,3.7156959234340583,0.2018544064686261,1.0,-0.12500000009574005,-0.27766817773170205
3.0,5.0,3.0,4.070726841289221,0.3451751477702685,1.0,-0.11284414204590379,-0.2169342363378098
4.0,5.0,2.5,3.7422599874998803,0.18825959051797256,1.0,-0.12500000881345985,-0.2677205000933884
5.0,5.0,2.5,3.804796450310377,0.22224099077390916,1.0,-0.12500000000044748,-0.27258691754682407
6.0,5.0,3.0,4.127235941610991,0.3903651825861764,1.0,-0.11367463531739448,-0.22249455549244473
7.0,6.0,3.0,4.355970848304937,0.23120053888218045,1.0,-0.12499999943086962,-0.23958443087939038
8.0,6.0,3.5,4.601290170403532,0.15726405984874248,1.0,-0.1077745560478582,-0.1962267012359021
9.0,6.0,3.0,4.386960604665026,0.24085208222037546,1.0,-0.1250000065781546,-0.23899300438351914
10.0,6.0,3.5,4.623780888052777,0.17356621632402727,1.0,-0.10814284883809232,-0.19894856753944962
11.0,7.0,3.5,4.971528133743954,0.26438264292483127,1.0,-0.12499999994296357,-0.21881275425783642
12.0,7.0,4.0,5.14335631176409,0.1855783999733029,1.0,-0.10479337365040296,-0.18201584098215814
13.0,8.0,4.0,5.574400647137512,0.29957964833773537,1.0,-0.12499999930401662,-0.2047040320795147
14.0,8.0,4.5,5.688793442045527,0.20897514673133893,1.0,-0.10284915734640455,-0.1708460000326793
15.0,5.0,2.5,3.804796450310382,0.2068635241366539,1.0,-0.12499999997937905,-0.2725869175884889
16.0,5.0,3.0,4.143037089431076,0.3603586247946897,1.0,-0.11195677528075744,-0.22065480368421891
17.0,5.0,3.5,4.6024563918296,0.6826240186493012,1.0,-0.10599440075849878,-0.19251367535780287
18.0,5.0,3.0,4.144188666190682,0.3331331045022737,1.0,-0.1107023830457988,-0.21416703250488822
19.0,5.0,2.5,3.8679075520321096,0.23925499254291033,1.0,-0.12499999999898123,-0.27587156678261926
20.0,5.0,3.0,4.178131753033735,0.3966171767380404,1.0,-0.11236846186749305,-0.22483029862097004
21.0,5.0,3.0,4.190611553752274,0.3687333950682954,1.0,-0.11062275592560412,-0.22173796679258018
22.0,5.0,3.5,4.635751620112034,0.7061683502214038,1.0,-0.10563484187432187,-0.19451403285441576
23.0,6.0,3.0,4.442649460579527,0.2515987233834836,1.0,-0.12499999871787179,-0.24491010147289097
24.0,6.0,3.5,4.655778401382625,0.16718448656525692,1.0,-0.10652459381516528,-0.20074087951089553
25.0,6.0,3.5,4.816582061465397,0.4419336873641103,1.0,-0.11398524975562839,-0.20960194016181574
26.0,6.0,4.0,5.154570988943886,0.3132429396898501,1.0,-0.10272553174629075,-0.18079733118541846
27.0,6.0,3.5,4.618078330242799,0.13630143875688408,1.0,-0.10657806940002501,-0.19284638059947348
28.0,6.0,4.0,5.035150206645543,0.323632089018118,1.0,-0.09843644754467105,-0.17117798909791218
29.0,5.0,3.0,4.4426494605795295,0.6467490963724944,1.0,-0.12499998776885637,-0.2449100844381331
30.0,5.0,3.0,4.1616286813060235,0.4288759971559446,1.0,-0.11411776185456106,-0.22624522159070326
31.0,6.0,3.0,4.386960604665028,0.2263072517073013,1.0,-0.12500000013555895,-0.23899301304676027
32.0,6.0,3.5,4.635540487677676,0.15331542507293985,1.0,-0.10745205070272633,-0.19810388382773955
33.0,6.0,3.5,4.8007428725802175,0.2834000170463432,1.0,-0.11534292051732908,-0.20996833259106076
34.0,6.0,4.0,5.148744541071984,0.4121814333376297,1.0,-0.10391946835959727,-0.1814746761306404
35.0,6.0,4.0,5.054376620100397,0.34570184733071796,1.0,-0.09861025719026927,-0.1746452305984802
36.0,7.0,4.0,5.28043242364246,0.16203803116892102,1.0,-0.10968309440835373,-0.1880592885780196
37.0,7.0,4.5,5.604337343254489,0.1274182833216002,1.0,-0.097343879309006,-0.1637920657405009
38.0,6.0,3.5,5.050978792894425,0.4524195455418375,1.0,-0.12499999812460044,-0.2254597416827015
39.0,6.0,4.0,5.302861069859795,0.6901375802415228,1.0,-0.11025303193930287,-0.1939247309194644
40.0,6.0,4.0,5.157402914142499,0.397717796193915,1.0,-0.10360200260324257,-0.181012141930581
41.0,7.0,4.0,5.165064149546713,0.1780924813768328,1.0,-0.10402736961614455,-0.18209768636999418
42.0,7.0,4.0,5.43882687850368,0.32788314745652136,1.0,-0.11654970644545236,-0.19796703981533326
43.0,7.0,4.5,5.701248190228732,0.24514903656492731,1.0,-0.10173655303668708,-0.17110415309789648
44.0,8.0,4.5,5.917901683462236,0.1885384309417669,1.0,-0.11192490364018462,-0.18168049958871332
45.0,8.0,5.0,6.168972975993957,0.14555626094255944,1.0,-0.0967261312285212,-0.15703868190268122
46.0,6.0,3.5,4.806042964464096,0.2707742188340577,1.0,-0.11423685571039902,-0.20666197181822615
47.0,6.0,3.0,4.500000000000003,0.285156234739088,1.0,-0.12499999698796885,-0.2499999714804352
48.0,6.0,3.5,4.84965304207061,0.1835511169704706,1.0,-0.11424593836760237,-0.2130577374399382
49.0,6.0,4.0,5.297467122648513,0.47690507823553674,1.0,-0.10885888117387484,-0.18954659280591546
50.0,6.0,3.5,4.648135389113199,0.14352276245111206,1.0,-0.1068144422262135,-0.19793789781625706
51.0,6.0,3.5,4.8332032253147315,0.3385889298768092,1.0,-0.11562005485887357,-0.21324835289092126
52.0,6.0,4.0,5.171017437258801,0.4129489917866109,1.0,-0.10317866289901104,-0.18214799224792136
53.0,7.0,3.5,5.0509787928944245,0.28257685802900273,1.0,-0.12499999863984097,-0.22545974336525187
54.0,7.0,4.0,5.314455796843421,0.19117270620023813,1.0,-0.10963247130739988,-0.19351831978441036
55.0,7.0,4.5,5.708296033964075,0.1304215723294267,1.0,-0.10110057920614496,-0.17153271963159206
56.0,6.0,4.5,5.705081365938968,0.8766974635675837,1.0,-0.10121485799736128,-0.1706153197694498
57.0,7.0,4.5,5.818335562969946,0.35103069458849384,1.0,-0.10645142888565803,-0.17812169801797867
58.0,7.0,5.0,6.175926645138328,0.44609357660767224,1.0,-0.09640770125394767,-0.15776981946725058
