graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
1.0,3.0,1.5,2.8080366275902704,0.8963784586970435,2.0,-0.14279704684593122,-0.09358350883196262,-0.29990865812194056,-0.37566205515145135
2.0,3.0,1.5,2.7320740278510396,0.7706056364705132,2.0,-0.17855842442511033,-0.10109757358956825,-0.28220810379382827,-0.4907943189890238
3.0,3.0,2.0,2.9035473441304944,0.9226092128322909,2.0,-0.13635368986355487,-0.06392391476556745,-0.19315842482673268,-0.401177041075776
4.0,4.0,2.0,3.9999999999999996,1.0,2.0,-0.1780176492575706,-0.14396470133828532,-0.28792940309684917,-0.3560352983483381
5.0,4.0,2.5,3.8558363864649325,0.8626031415382094,2.0,-0.22427352167741865,-0.10425284116609783,0.7332354407490211,0.8646547639376149
6.0,4.0,3.0,4.000000000000002,0.9999999999999998,2.0,-0.08787925940697734,-0.051732385543119125,-0.1467226476678938,-0.4508904503570486
