graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
1.0,4.0,1.9999999999999998,4.000000000000003,0.9999999999999012,2.0,-0.12499997757662877,0.12499997770259763,-0.4999999518105054,0.9999999850733371
2.0,4.0,1.9999999999999998,3.5078626576348197,0.599630861588802,2.0,-0.14822029106392975,-0.08575484081105174,-0.24192983414892993,-0.39139035317989307
3.0,4.0,2.4999999999999996,3.673927551242865,0.7397573986819836,2.0,-0.13966193973243252,-0.07069320626744062,-0.16567669633046028,-0.32968363251750776
4.0,4.0,2.4999999999999996,3.853893770269565,0.8886635563534073,2.0,-0.11918191152880131,-0.07420948950176114,-0.20435136411822108,-0.4001439118863653
5.0,5.0,2.4999999999999996,4.489134514828276,0.7165548642658746,2.0,-0.18218912309891258,-0.1193348143542253,-0.2251208185628576,-0.3431492332813469
6.0,5.0,2.9999999999999996,4.264466998575477,0.3771086782548516,2.0,-0.13569194403346957,-0.07543925108547792,-0.15559177611792482,-0.32904458910919904
7.0,6.0,2.9999999999999996,5.588498008997907,0.8568200582771163,2.0,-0.1878839951967192,-0.13406089709133392,-0.2036732304654037,-0.29356756376238397
8.0,6.0,3.4999999999999996,5.050337591712255,0.6540493296528386,2.0,-0.17658889213266565,-0.14414921595523886,-0.2367477283058024,-0.3117157358039477
9.0,4.0,1.9999999999999998,3.5273126515982995,0.5587903449418543,2.0,-0.18449579253076295,-0.09993094394195588,-0.25470558056433007,-0.4579309291339299
10.0,4.0,2.4999999999999996,3.708891291653928,0.7502938449671183,2.0,-0.1528364150292776,-0.07601272997026995,-0.1937838172450073,-0.39071427352873905
11.0,4.0,2.9999999999999996,3.9960824010198546,0.9981897181229933,2.0,-0.08169332078985343,0.18608367075736254,0.2899345571482748,-0.10302303368288405
12.0,5.0,2.9999999999999996,4.340251206605876,0.4190301406393564,2.0,-0.11547390457555888,-0.07080688599088587,-0.17967188748511362,-0.3770584485337439
13.0,5.0,3.4999999999999996,4.771300656009117,0.8095721564805511,2.0,-0.10046298763552634,-0.0650315910304692,-0.1439698003238231,-0.40537972148422297
14.0,4.0,2.4999999999999996,4.0,0.9999999999999434,2.0,-0.17556276282653965,-0.08352082073832011,-0.16704164651012288,-0.35112555816438185
15.0,5.0,2.9999999999999996,4.623429761267659,0.7070512706425687,2.0,-0.16466616490737473,-0.09837802247163314,-0.1862404538149335,-0.32745157523879753
16.0,5.0,3.4999999999999996,4.71669304536288,0.7556678398219211,2.0,-0.13228117946736193,-0.06316977765180701,-0.13473029325230673,-0.3095596369595627
17.0,6.0,3.9999999999999996,5.187132571585736,0.29949232616339094,2.0,-0.11977095620393345,-0.05676570119028897,-0.11822276948123228,-0.3050578962689412
18.0,6.0,3.4999999999999996,5.336254817906214,0.5985853035973494,2.0,-0.16457185327582444,-0.11349198264280493,-0.1879518501788556,-0.29169863913575805
19.0,6.0,3.9999999999999996,5.6188354279542345,0.7573088881848411,2.0,-0.13014987378654827,0.12594346867021194,-0.18206570543901135,0.7058862775366367
20.0,6.0,4.499999999999999,5.811911441073102,0.8392632395903404,2.0,-0.11837405997678341,0.19092939761609465,-0.24632745673908457,-0.8888879654167408
21.0,6.0,4.999999999999999,5.9999999999999964,0.9999999999999925,2.0,-0.1045231442490059,-0.03709011145591024,-0.07970925006216334,-0.23013444861437463
