graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
15.0,9.0,5.0,7.234569632629185,0.2641397594104113,2.0,-0.13620618982819552,-0.09129797069698245,-0.16362973742772405,-0.26632450027633564
16.0,8.0,4.0,6.6100023834435415,0.3424247913196745,2.0,-0.15478606436737208,-0.0959788154132396,-0.2032871423331059,-0.287852817227166
17.0,8.0,4.5,6.689611263573245,0.22862200799097013,2.0,-0.1323446102163774,-0.08370137227414483,-0.17155959427671574,-0.29692648848969744
18.0,9.0,4.5,7.409447737620917,0.37576955771270015,2.0,-0.1635508966243281,-0.10858383865820838,-0.18652544183523004,-0.25258214480831226
19.0,9.0,5.0,7.277567661544682,0.27273161043313615,2.0,-0.14160624556355994,-0.09234564930154951,-0.16569252184073782,-0.27434171175291694
20.0,10.0,5.0,8.315798244336175,0.4471175263283747,2.0,-0.16621753875772768,-0.11972476785291895,-0.17702521495473098,-0.22377606130759214
21.0,10.0,5.5,8.00563110532047,0.33700019344688037,2.0,-0.15388731698477165,-0.1110292262953359,-0.17659264895692267,-0.244920386170655
22.0,10.0,5.0,8.355548081084539,0.41983916966410184,2.0,-0.16879503333047524,-0.12039589094695337,-0.18162600660972245,-0.22717829852898805
23.0,10.0,5.5,8.036126021988391,0.3285905733703335,2.0,-0.1559671679682095,-0.11126660068031215,-0.17844551726001098,-0.24843445989273677
24.0,11.0,5.5,9.355135754179292,0.4918097146337618,2.0,-0.16904251457015004,-0.12935420396468372,-0.17707387954990628,-0.2050093448817092
25.0,11.0,6.0,8.945460234405848,0.3660694084238491,2.0,-0.16362006024618042,-0.12874742558223903,-0.1836315267614295,-0.22246603980252413
26.0,12.0,6.0,10.434485070395517,0.55966746907479,2.0,-0.16834985412683315,-0.1366727341025254,-0.17735153016870162,-0.18770331020326242
27.0,12.0,6.5,9.984140692489383,0.39864893372391064,2.0,-0.1665288618713236,-0.14029169143760772,-0.18418267178932451,-0.20313315347365718
28.0,7.0,3.5,5.755431319013211,0.237856548117701,2.0,-0.12843919244234706,-0.08102139481573639,-0.1998688146365492,-0.2940838788155556
29.0,7.0,4.0,6.076730888087992,0.4160884416838485,2.0,-0.11437726963728832,0.1262418142453449,-0.5017505185957369,0.958587866818696
30.0,7.0,4.5,6.322535253660833,0.5198509241267659,2.0,-0.12465046003554849,-0.06622621071863236,-0.14256677229288695,-0.2594704406030845
31.0,7.0,3.5,5.869518295928714,0.2753878223181471,2.0,-0.1371525334099861,-0.08284118362305792,-0.21727875427220672,-0.34432637580037506
32.0,7.0,4.0,6.053798945329736,0.3625092485238844,2.0,-0.13641103786897804,-0.07531708838877796,-0.17954003448599315,-0.3276537864899146
33.0,7.0,3.5,5.800585560054525,0.23877379627341785,2.0,-0.14663309867543323,-0.08220356308308363,-0.19844739529898725,-0.33485377695425234
34.0,7.0,4.0,6.148833665170308,0.4064040457249106,2.0,-0.13010143746289138,-0.07729285376868975,-0.17991778168803327,-0.3270395103870639
35.0,7.0,4.0,6.027192423561857,0.3321391688942484,2.0,-0.14096177745405922,-0.07534823617151173,-0.16226423747518076,-0.30847413899437914
36.0,7.0,4.5,6.425677680883023,0.5986190293404613,2.0,-0.1296030774696119,-0.0678327708218071,-0.15471417254460323,-0.3023140555108201
37.0,8.0,4.0,6.5453655313549435,0.28823659782041666,2.0,-0.14846070538475034,-0.09341575670269577,-0.18368250680696585,-0.28721110709428166
38.0,8.0,4.5,6.601463553826602,0.16383293794658532,2.0,-0.13038468201869852,-0.07894557145729934,-0.15969227240085485,-0.30213867664287597
39.0,8.0,4.5,6.782222551777742,0.42608362388602006,2.0,-0.14564307122672418,-0.0868308118122037,-0.15676176140820636,-0.27262876688915944
40.0,8.0,5.0,6.915287954102768,0.2526963176227518,2.0,-0.1283468518023765,-0.06848201679741826,-0.13814942558131366,-0.27523631203583804
41.0,7.0,4.0,6.086098752377343,0.38997723476551066,2.0,-0.1385551009286248,-0.07729307209136603,-0.1828337173886953,-0.3206479918744953
42.0,7.0,3.5,5.92950629403158,0.27558670983114597,2.0,-0.15466867743597093,-0.08596840555377933,-0.22237918545567936,-0.36895913814343956
43.0,7.0,4.0,6.180310033703589,0.4287998245796384,2.0,-0.134755593885489,-0.07893876651599623,-0.17633096943734075,-0.31980471553820344
44.0,7.0,4.0,6.0984977259905575,0.36198382476426655,2.0,-0.15025548534044256,-0.07890484451702104,-0.17913471435888342,-0.3336383781321731
45.0,7.0,4.5,6.453169892879069,0.6103581726490339,2.0,-0.13298940812105856,-0.06807709426505941,-0.15916661916384095,-0.3103123618637856
46.0,8.0,4.0,6.582705399232877,0.28182872150812277,2.0,-0.16239577461312923,-0.09569886787487106,-0.1868581707664669,-0.3080234790769169
47.0,8.0,4.5,6.646072209704139,0.18693754826015396,2.0,-0.13686732760895695,-0.08076139169265543,-0.15546315242967612,-0.3022325204012571
48.0,8.0,4.5,6.814787695109491,0.41305239328263915,2.0,-0.15833790520963748,-0.09028681064020086,-0.1604364088913838,-0.2883382770589551
49.0,8.0,5.0,6.956451621499642,0.2753169138519135,2.0,-0.13323021209000924,-0.06968697790345914,-0.13855249582814808,-0.28259557535739305
50.0,9.0,4.5,7.4178717246962105,0.3321947733238186,2.0,-0.16590080349771033,-0.1080752339861937,-0.17293362737339288,-0.2664053917866242
51.0,9.0,5.0,7.244205135632493,0.22891063943272083,2.0,-0.14472755193361794,-0.09044868030504578,-0.1531096939211124,-0.2861632024236652
52.0,9.0,5.0,7.659077953405346,0.515268308771459,2.0,-0.16357904705715448,-0.10382054429712381,-0.15531611609955923,-0.2551425917484952
53.0,9.0,5.5,7.545999039056464,0.3452407374630996,2.0,-0.13951847006651066,-0.07745203948481955,-0.1319259140910904,-0.2671394265749208
54.0,8.0,4.5,6.884562944509985,0.4639035695537246,2.0,-0.1616570533599358,-0.09485393235261802,-0.17752236472505056,-0.2955485122292004
55.0,8.0,5.0,6.95018644503407,0.2644250012820315,2.0,-0.13499779125865713,-0.06870362109522082,-0.14318136884651925,-0.2901049647186774
56.0,9.0,4.5,7.458024073344855,0.32590021139546177,2.0,-0.1705757470736826,-0.10917712291546412,-0.17818886000834533,-0.27307844245631013
