graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
1.0,6.0,2.9999999999999996,5.999999999999998,0.9999999999999998,2.0,-0.1249999985594732,0.12499999937818815,-0.4999999997390336,-0.999999999653827
2.0,6.0,2.9999999999999996,5.053571276393202,0.47685578721511523,2.0,-0.12141040857571678,0.08880050797624049,-0.3396088177750565,0.7516836278196838
3.0,6.0,3.4999999999999996,5.533783059852111,0.7767132178838949,2.0,-0.122863924262057,0.12391404059936871,-0.4883046514450917,0.9782726157846022
4.0,6.0,2.9999999999999996,5.147316953997054,0.43712864770891774,2.0,-0.13035002938824045,-0.08667743170996353,-0.2373632642200592,-0.34004259567809436
5.0,6.0,2.9999999999999996,5.052141483680702,0.35646983180425945,2.0,-0.14259539412238895,-0.08410856138844211,-0.21437094249888392,-0.3270447254991955
6.0,6.0,3.4999999999999996,5.410598091755123,0.6383366670741298,2.0,-0.10770777675416889,0.08178955207554171,-0.2263494286974013,0.6541659963201956
7.0,7.0,3.4999999999999996,5.820899769237714,0.4546067503399971,2.0,-0.14911509839832085,-0.09899939590788363,-0.2011348158404568,-0.2770706114266974
8.0,7.0,3.9999999999999996,5.847269162897198,0.24190798099709407,2.0,-0.1266647322273227,-0.08120716777332511,-0.16951531125127225,-0.3064913634865945
9.0,6.0,2.9999999999999996,5.173704881077004,0.39105488306774616,2.0,-0.14960118324370528,-0.08729825883940333,-0.2364882499249495,-0.36686393792577787
10.0,6.0,3.4999999999999996,5.5193052704708565,0.7630560752179544,2.0,-0.12383025110836075,0.12469889578545569,-0.4877561990114565,0.9752213250319847
11.0,7.0,3.4999999999999996,5.84446670848814,0.4128799748735139,2.0,-0.16383069581789264,-0.1006026250699886,-0.19963094954900132,-0.30170479638862957
12.0,7.0,3.9999999999999996,5.878699907896548,0.2614306294892972,2.0,-0.13438489300334433,-0.08199071705628995,-0.1617000630553725,-0.30370768495446426
13.0,8.0,3.9999999999999996,6.722413086970828,0.5042968939852455,2.0,-0.1689884262187968,-0.11516669667538383,-0.18545016066344525,-0.25799719537890714
14.0,8.0,4.499999999999999,6.492281008020585,0.33744758568413585,2.0,-0.14622362376334827,-0.09613730055186807,-0.1659564777425987,-0.2829337308566716
15.0,8.0,3.9999999999999996,6.766151077899297,0.4685308803532872,2.0,-0.17397010392327492,-0.11636163088566608,-0.1909054954092183,-0.26718179823146754
16.0,8.0,4.499999999999999,6.511401581531398,0.3368379402631415,2.0,-0.149475314978257,-0.09618329680761299,-0.16431077796893082,-0.28735571376343566
17.0,9.0,4.499999999999999,7.772606921156628,0.5636679790717698,2.0,-0.17450188855938137,-0.12776679985807393,-0.183987980525365,-0.2355399483349774
